price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,furnished,semi-furnished,unfurnished
133000,7420,4,2,3,1,0,0,0,1,2,1,0,0
122500,8960,4,4,4,1,0,0,0,1,3,1,0,0
122500,9960,3,2,2,1,0,1,0,0,2,0,1,0
122150,7500,4,2,2,1,0,1,0,1,3,1,0,0
114100,7420,4,1,2,1,1,1,0,1,2,1,0,0
108500,7500,3,3,1,1,0,1,0,1,2,0,1,0
101500,8580,4,3,4,1,0,0,0,1,2,0,1,0
101500,16200,5,3,2,1,0,0,0,0,0,0,0,1
98700,8100,4,1,2,1,1,1,0,1,2,1,0,0
98000,5750,3,2,4,1,1,0,0,1,1,0,0,1
98000,13200,3,1,2,1,0,1,0,1,2,1,0,0
96810,6000,4,3,2,1,1,1,1,0,2,0,1,0
93100,6550,4,2,2,1,0,0,0,1,1,0,1,0
92400,3500,4,2,2,1,0,0,1,0,2,1,0,0
92400,7800,3,2,2,1,0,0,0,0,0,0,1,0
91000,6000,4,1,2,1,0,1,0,0,2,0,1,0
91000,6600,4,2,2,1,1,1,0,1,1,0,0,1
89600,8500,3,2,4,1,0,0,0,1,2,1,0,0
88900,4600,3,2,2,1,1,0,0,1,2,1,0,0
88550,6420,3,2,2,1,0,0,0,1,1,0,1,0
87500,4320,3,1,2,1,0,1,1,0,2,0,1,0
86800,7155,3,2,1,1,1,1,0,1,2,0,0,1
86450,8050,3,1,1,1,1,1,0,1,1,1,0,0
86450,4560,3,2,2,1,1,1,0,1,1,1,0,0
85750,8800,3,2,2,1,0,0,0,1,2,1,0,0
85400,6540,4,2,2,1,1,1,0,1,2,1,0,0
84630,6000,3,2,4,1,1,1,0,1,0,0,1,0
84000,8875,3,1,1,1,0,0,0,0,1,0,1,0
84000,7950,5,2,2,1,0,1,1,0,2,0,0,1
84000,5500,4,2,2,1,0,1,0,1,1,0,1,0
84000,7475,3,2,4,1,0,0,0,1,2,0,0,1
84000,7000,3,1,4,1,0,0,0,1,2,0,1,0
82950,4880,4,2,2,1,0,0,0,1,1,1,0,0
81900,5960,3,3,2,1,1,1,0,0,1,0,0,1
81200,6840,5,1,2,1,1,1,0,1,1,1,0,0
80809,7000,3,2,4,1,0,0,0,1,2,1,0,0
80430,7482,3,2,3,1,0,0,1,0,1,1,0,0
79800,9000,4,2,4,1,0,0,0,1,2,1,0,0
79625,6000,3,1,4,1,1,0,0,1,2,0,0,1
79100,6000,4,2,4,1,0,0,0,1,1,0,1,0
78750,6550,3,1,2,1,0,1,0,1,0,1,0,0
78400,6360,3,2,4,1,0,0,0,1,0,1,0,0
77000,6480,3,2,4,1,0,0,0,1,2,0,0,1
77000,6000,4,2,4,1,0,0,0,0,2,0,1,0
